budget,hedge_effect,alert_cost,external_minus_base_proxy_cost,external_minus_base_capture,external_minus_base_precision
0.05,0.25,1.1172612402076804e-05,-2.3041083821733095e-06,0.0,0.0
0.05,0.25,2.793153100519201e-05,-2.304108382173418e-06,0.0,0.0
0.05,0.25,5.586306201038402e-05,-2.3041083821735264e-06,0.0,0.0
0.05,0.5,1.1172612402076804e-05,-4.6082167643467275e-06,0.0,0.0
0.05,0.5,2.793153100519201e-05,-4.608216764346619e-06,0.0,0.0
0.05,0.5,5.586306201038402e-05,-4.608216764346836e-06,0.0,0.0
0.1,0.25,1.1172612402076804e-05,-1.0600977628021872e-06,0.0,0.0
0.1,0.25,2.793153100519201e-05,-1.0600977628021872e-06,0.0,0.0
0.1,0.25,5.586306201038402e-05,-1.0600977628021872e-06,0.0,0.0
0.1,0.5,1.1172612402076804e-05,-2.120195525604266e-06,0.0,0.0
0.1,0.5,2.793153100519201e-05,-2.1201955256041575e-06,0.0,0.0
0.1,0.5,5.586306201038402e-05,-2.120195525604266e-06,0.0,0.0
0.2,0.25,1.1172612402076804e-05,-7.600146477681731e-07,0.0,0.0
0.2,0.25,2.793153100519201e-05,-7.600146477681731e-07,0.0,0.0
0.2,0.25,5.586306201038402e-05,-7.600146477681731e-07,0.0,0.0
0.2,0.5,1.1172612402076804e-05,-1.5200292955363463e-06,0.0,0.0
0.2,0.5,2.793153100519201e-05,-1.5200292955363463e-06,0.0,0.0
0.2,0.5,5.586306201038402e-05,-1.5200292955364547e-06,0.0,0.0
