model,budget,hedge_effect,alert_cost,alert_rate,precision,capture,mean_target_alert,mean_target_rest,proxy_cost,proxy_cost_delta_vs_no_action
base,0.05,0.25,1.1172612402076804e-05,0.05067064083457526,1.0,0.1708542713567839,0.0027867404571482735,0.0006090947426162556,0.000684702088711634,-3.4735357770625556e-05
base,0.05,0.25,2.793153100519201e-05,0.05067064083457526,1.0,0.1708542713567839,0.0027867404571482735,0.0006090947426162556,0.0006855512738569484,-3.388617262531119e-05
base,0.05,0.25,5.586306201038402e-05,0.05067064083457526,1.0,0.1708542713567839,0.0027867404571482735,0.0006090947426162556,0.0006869665824324724,-3.247086404978717e-05
base,0.05,0.5,1.1172612402076804e-05,0.05067064083457526,1.0,0.1708542713567839,0.0027867404571482735,0.0006090947426162556,0.000649400607510799,-7.003683897146055e-05
base,0.05,0.5,2.793153100519201e-05,0.05067064083457526,1.0,0.1708542713567839,0.0027867404571482735,0.0006090947426162556,0.0006502497926561133,-6.918765382614629e-05
base,0.05,0.5,5.586306201038402e-05,0.05067064083457526,1.0,0.1708542713567839,0.0027867404571482735,0.0006090947426162556,0.0006516651012316373,-6.777234525062227e-05
external,0.05,0.25,1.1172612402076804e-05,0.05067064083457526,1.0,0.1708542713567839,0.002968629483552782,0.0005993863801394059,0.0006823979803294607,-3.7039466152798866e-05
external,0.05,0.25,2.793153100519201e-05,0.05067064083457526,1.0,0.1708542713567839,0.002968629483552782,0.0005993863801394059,0.0006832471654747749,-3.6190281007484606e-05
external,0.05,0.25,5.586306201038402e-05,0.05067064083457526,1.0,0.1708542713567839,0.002968629483552782,0.0005993863801394059,0.0006846624740502989,-3.4774972431960696e-05
external,0.05,0.5,1.1172612402076804e-05,0.05067064083457526,1.0,0.1708542713567839,0.002968629483552782,0.0005993863801394059,0.0006447923907464523,-7.464505573580727e-05
external,0.05,0.5,2.793153100519201e-05,0.05067064083457526,1.0,0.1708542713567839,0.002968629483552782,0.0005993863801394059,0.0006456415758917666,-7.37958705904929e-05
external,0.05,0.5,5.586306201038402e-05,0.05067064083457526,1.0,0.1708542713567839,0.002968629483552782,0.0005993863801394059,0.0006470568844672904,-7.23805620149691e-05
base,0.1,0.25,1.1172612402076804e-05,0.10134128166915052,0.9852941176470589,0.33668341708542715,0.0023306164935715085,0.0005377456136430077,0.0006615227777082291,-5.791466877403046e-05
base,0.1,0.25,2.793153100519201e-05,0.10134128166915052,0.9852941176470589,0.33668341708542715,0.0023306164935715085,0.0005377456136430077,0.0006632211479988578,-5.6216298483401724e-05
base,0.1,0.25,5.586306201038402e-05,0.10134128166915052,0.9852941176470589,0.33668341708542715,0.0023306164935715085,0.0005377456136430077,0.0006660517651499055,-5.338568133235401e-05
base,0.1,0.5,1.1172612402076804e-05,0.10134128166915052,0.9852941176470589,0.33668341708542715,0.0023306164935715085,0.0005377456136430077,0.0006024758620737795,-0.00011696158440848
base,0.1,0.5,2.793153100519201e-05,0.10134128166915052,0.9852941176470589,0.33668341708542715,0.0023306164935715085,0.0005377456136430077,0.0006041742323644082,-0.00011526321411785138
base,0.1,0.5,5.586306201038402e-05,0.10134128166915052,0.9852941176470589,0.33668341708542715,0.0023306164935715085,0.0005377456136430077,0.000607004849515456,-0.00011243259696680356
external,0.1,0.25,1.1172612402076804e-05,0.10134128166915052,0.9852941176470589,0.33668341708542715,0.0023724591758562293,0.0005330270358729231,0.0006604626799454269,-5.8974766536832647e-05
external,0.1,0.25,2.793153100519201e-05,0.10134128166915052,0.9852941176470589,0.33668341708542715,0.0023724591758562293,0.0005330270358729231,0.0006621610502360556,-5.727639624620391e-05
external,0.1,0.25,5.586306201038402e-05,0.10134128166915052,0.9852941176470589,0.33668341708542715,0.0023724591758562293,0.0005330270358729231,0.0006649916673871033,-5.44457790951562e-05
external,0.1,0.5,1.1172612402076804e-05,0.10134128166915052,0.9852941176470589,0.33668341708542715,0.0023724591758562293,0.0005330270358729231,0.0006003556665481753,-0.00011908177993408427
external,0.1,0.5,2.793153100519201e-05,0.10134128166915052,0.9852941176470589,0.33668341708542715,0.0023724591758562293,0.0005330270358729231,0.000602054036838804,-0.00011738340964345553
external,0.1,0.5,5.586306201038402e-05,0.10134128166915052,0.9852941176470589,0.33668341708542715,0.0023724591758562293,0.0005330270358729231,0.0006048846539898517,-0.00011455279249240782
base,0.2,0.25,1.1172612402076804e-05,0.20119225037257824,0.9111111111111111,0.6180904522613065,0.0020649777425404375,0.0003805420360944724,0.0006178209097662246,-0.00010161653671603491
base,0.2,0.25,2.793153100519201e-05,0.20119225037257824,0.9111111111111111,0.6180904522613065,0.0020649777425404375,0.0003805420360944724,0.0006211926743137963,-9.824477216846322e-05
base,0.2,0.25,5.586306201038402e-05,0.20119225037257824,0.9111111111111111,0.6180904522613065,0.0020649777425404375,0.0003805420360944724,0.0006268122818930823,-9.262516458917729e-05
base,0.2,0.5,1.1172612402076804e-05,0.20119225037257824,0.9111111111111111,0.6180904522613065,0.0020649777425404375,0.0003805420360944724,0.0005139565300184754,-0.00020548091646378417
base,0.2,0.5,2.793153100519201e-05,0.20119225037257824,0.9111111111111111,0.6180904522613065,0.0020649777425404375,0.0003805420360944724,0.0005173282945660471,-0.00020210915191621248
base,0.2,0.5,5.586306201038402e-05,0.20119225037257824,0.9111111111111111,0.6180904522613065,0.0020649777425404375,0.0003805420360944724,0.0005229479021453331,-0.00019648954433692644
external,0.2,0.25,1.1172612402076804e-05,0.20119225037257824,0.9111111111111111,0.6180904522613065,0.0020800879596856946,0.0003767362911045287,0.0006170608951184565,-0.00010237655136380308
external,0.2,0.25,2.793153100519201e-05,0.20119225037257824,0.9111111111111111,0.6180904522613065,0.0020800879596856946,0.0003767362911045287,0.0006204326596660282,-9.90047868162314e-05
external,0.2,0.25,5.586306201038402e-05,0.20119225037257824,0.9111111111111111,0.6180904522613065,0.0020800879596856946,0.0003767362911045287,0.0006260522672453141,-9.338517923694546e-05
external,0.2,0.5,1.1172612402076804e-05,0.20119225037257824,0.9111111111111111,0.6180904522613065,0.0020800879596856946,0.0003767362911045287,0.000512436500722939,-0.0002070009457593205
external,0.2,0.5,2.793153100519201e-05,0.20119225037257824,0.9111111111111111,0.6180904522613065,0.0020800879596856946,0.0003767362911045287,0.0005158082652705107,-0.00020362918121174882
external,0.2,0.5,5.586306201038402e-05,0.20119225037257824,0.9111111111111111,0.6180904522613065,0.0020800879596856946,0.0003767362911045287,0.0005214278728497967,-0.0001980095736324629
